keys,values
000000000139.jpg,A woman stands in the dining area at the table.
000000000285.jpg,A big burly grizzly bear is show with grass in the background.
000000000632.jpg,"Bedroom scene with a bookcase, blue comforter and window."
000000000724.jpg,A stop sign is mounted upside-down on it's post. 
000000000776.jpg,"Three teddy bears, each a different color, snuggling together."
000000000785.jpg,A woman posing for the camera standing on skis.
000000000802.jpg,"A kitchen with a refrigerator, stove and oven with cabinets."
000000000872.jpg,A couple of baseball player standing on a field.
000000000885.jpg,a male tennis player in white shorts is playing tennis
000000001000.jpg,The people are posing for a group photo.
000000001268.jpg,A beautiful woman taking a picture with her smart phone.
000000001296.jpg,A woman holding a Hello Kitty phone on her hands.
000000001353.jpg,some children are riding on a mini orange train
000000001425.jpg,A meal is lying on a plate on a table.
000000001490.jpg,A man in a wet suit stands on a surfboard and rows with a paddle.
000000001503.jpg,A computer on a desk next to a laptop.
000000001532.jpg,A street scene with focus on the street signs on an overpass.
000000001584.jpg,"The red, double decker bus is driving past other buses. "
000000001675.jpg,A cat resting on an open laptop computer.
000000001818.jpg,A zebra in the grass who is cleaning himself. 
000000001993.jpg,A bedroom with a bed and small table near by.
000000002006.jpg,a big purple bus parked in a parking spot
000000002153.jpg,Batter preparing to swing at pitch during major game.
000000002157.jpg,A plate of finger foods next to a blue and raspberry topped cake.
000000002261.jpg,A man on a blue raft attempting to catch a ride on a large wave.
000000002299.jpg,Many small children are posing together in the black and white photo. 
000000002431.jpg,A plate on a wooden table full of bread.
000000002473.jpg,A man flying through the air while riding skis.
000000002587.jpg,a close up of a banana and a doughnut in a plastic bag
000000002685.jpg,A group of people standing around each other.
000000002923.jpg,A marsh area with egrets and shrimp boats
000000003156.jpg,A young man bending next to a toilet.
000000003255.jpg,a group of people riding skis on a snowy surface
000000003501.jpg,"A bowl with rice, broccoli and a purple relish."
000000003553.jpg,a person skating on some pieces of wood 
000000003845.jpg,a chicken meal with carrots broccoli and rice
000000003934.jpg,A young girl in the foreground and a woman in a bridal dress and other adults in the background. 
000000004134.jpg,A man is shaking hands with another man.
000000004395.jpg,A man in a shirt and tie motioning with his hand.
000000004495.jpg,A living room with a couch and chair.
000000004765.jpg,A man riding a surfboard on a wave in the ocean.
